,0
28659574,2017
28720364,2017
28723375,2016
28739479,2018
28746837,2018
28756716,2017
28783750,2017
28798083,2017
28836113,2018
28838250,2017
28886666,2018
28901784,2017
28904191,2017
28968771,2017
29031898,2017
29067443,2017
29079132,2018
29105668,2017
29122955,2017
29175676,2018
29178676,2018
29206791,2017
29218486,2018
29266058,2018
29357088,2018
29380704,2018
29411287,2018
29494538,2018
29523366,2018
29536412,2018
29590158,2018
29620968,2018
29623442,2018
